Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
2,7,0.7760572999999908,0.7355036999999953,0.04055359999999553,25,0.0,0.0,0,0,0,4
2,8,0.5028547999999944,0.46784040000000005,0.03501439999999434,23,0.0,0.0,0,1,0,4
2,9,1.1547266999999977,1.1075436999999937,0.04718300000000397,28,0.0,0.0,0,2,0,4
3,4,0.4892978000000028,0.4574812000000037,0.031816599999999085,18,0.0,0.0,0,2,0,4
3,5,0.68053519999998,0.6408345999999909,0.039700599999989095,25,0.0,0.0,0,2,0,4
3,6,0.4518089000000174,0.4193263000000087,0.03248260000000869,20,0.0,0.0,0,2,0,4
3,7,0.4572579000000019,0.42230700000000354,0.03495089999999834,19,0.0,0.0,0,2,0,4
3,8,0.2716712000000143,0.24337010000000703,0.028301100000007295,17,0.0,0.0,0,2,0,4
3,9,0.5044791999999916,0.36833910000000003,0.13614009999999155,22,0.0,0.0,0,4,0,4
4,5,0.9399841000000038,0.8988448000000062,0.04113929999999755,27,0.0,0.0,0,1,0,4
4,6,0.5176642999999927,0.482254999999995,0.035409299999997756,22,0.0,0.0,0,0,0,4
4,7,0.6362370999999882,0.5979126999999949,0.038324399999993375,21,0.0,0.0,0,0,0,4
4,8,0.34404070000000786,0.3134758000000062,0.03056490000000167,19,0.0,0.0,0,1,0,4
4,9,0.897958999999986,0.8607654999999994,0.03719349999998656,24,0.0,0.0,0,2,0,4
5,6,1.0962502999999941,1.0540682000000032,0.042182099999990896,29,0.0,0.0,0,1,0,4
5,7,1.016541200000006,0.9724350999999984,0.044106100000007586,28,0.0,0.0,0,1,0,4
5,8,0.627645699999988,0.5901751999999902,0.03747049999999774,26,0.0,0.0,0,0,0,4
5,9,1.5299851000000046,1.4802445999999918,0.049740500000012844,31,0.0,0.0,0,2,0,4
6,7,0.5352886999999953,0.49893419999999367,0.03635450000000162,23,0.0,0.0,0,0,0,4
6,8,0.4036258000000146,0.37335690000000454,0.030268900000010035,21,0.0,0.0,0,1,0,4
6,9,0.9977171999999968,0.9599711999999982,0.0377459999999985,26,0.0,0.0,0,2,0,4
7,8,0.48022710000000757,0.4479126000000093,0.03231449999999825,20,0.0,0.0,0,1,0,4
7,9,0.9703291000000007,0.9315284999999989,0.03880060000000185,25,0.0,0.0,0,2,0,4
8,9,0.7132727000000045,0.6809609000000023,0.03231180000000222,23,0.0,0.0,0,2,0,4
0,1,0.21039719999998852,0.18590979999999035,0.02448739999999816,25,0.0,0.0,0,4,0,2
0,2,0.20202829999999494,0.18108399999999847,0.020944299999996474,23,0.0,0.0,0,4,0,2
0,3,0.2861041999999969,0.26021330000000376,0.025890899999993167,26,0.0,0.0,0,8,0,2
0,4,0.18528200000000083,0.16346270000001084,0.021819299999989994,24,0.0,0.0,0,0,0,2
0,5,0.20559740000000204,0.18438340000000153,0.02121400000000051,27,0.0,0.0,0,4,0,2
0,6,0.22589209999999582,0.20519919999999559,0.020692900000000236,22,0.0,0.0,0,4,0,2
0,7,0.377466400000003,0.35629299999999375,0.021173400000009224,25,0.0,0.0,0,6,0,2
0,8,0.7142704000000037,0.686335200000002,0.027935200000001714,31,0.0,0.0,0,14,0,2
0,9,0.24272919999999942,0.22353529999999466,0.01919390000000476,21,0.0,0.0,0,8,0,2
1,2,0.14199370000000044,0.12362139999999044,0.01837230000001,20,0.0,0.0,0,0,0,2
